Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C5, C6, C9",0805,5,1u,C28323
"C11, C12",C_Elec_6.3x7.7,2,100u,C3338
"C2, C3",0603,2,12p,C38523
C4,0805,1,10u,C15850
"C7, C8",0603,2,22n,C21122
LINE,BOOMELE_PJ-320B,1,PJ-320B,C18594
"R1, R10, R11, R12, R2, R6, R7, R8, R9",0603,9,5.1k,C23186
"R13, R14",0603,2,16,C23345
"R15, R16",0603,2,10k,C15401
R3,0603,1,1M,C22935
"R4, R5",0603,2,22,C23345
U1,SOT-23-6,1,USBLC6-2SC6,C7519
U2,SOP65P780X200-28N,1,PCM2704CDBR,C2859784
USB,GCT_USB4105GFA120,1,USB4105GFA120,C136423
Y1,XTAL1170X500X450,1,C14871,C14871
