Designator,Mid X,Mid Y,Rotation,Layer
C1,128.524,-85.344,180.0,top
C10,155.956,-100.838,270.0,top
C11,168.91,-96.012,0.0,top
C12,168.9075,-88.646,0.0,top
C2,145.288,-96.52,90.0,top
C3,145.288,-87.63,270.0,top
C4,156.464,-82.1925,90.0,top
C5,150.114,-100.838,270.0,top
C6,154.178,-82.171,90.0,top
C7,161.29,-96.6205,270.0,top
C8,161.1865,-87.63,90.0,top
C9,158.75,-82.1925,90.0,top
LINE,180.292,-92.202,180.0,top
R1,131.318,-88.138,90.0,top
R10,145.034,-82.1925,270.0,top
R11,146.812,-82.1925,270.0,top
R12,143.256,-82.1925,90.0,top
R13,162.306,-99.314,0.0,top
R14,162.306,-84.836,0.0,top
R15,163.068,-96.6205,270.0,top
R16,163.2185,-87.63,90.0,top
R2,131.318,-95.758,270.0,top
R3,145.288,-91.948,90.0,top
R4,153.924,-100.7345,90.0,top
R5,152.146,-100.7345,270.0,top
R6,148.082,-100.7345,90.0,top
R7,152.146,-82.1925,270.0,top
R8,150.368,-82.1925,270.0,top
R9,148.59,-82.1925,270.0,top
U1,132.9635,-92.014,180.0,top
U2,152.381,-92.151,90.0,top
USB,123.19,-91.948,270.0,top
Y1,140.462,-92.202,90.0,top
